chunks,put100time
1179000,519
1180000,358
1181000,377
1182000,449
1183000,339
1184000,343
1185000,1781
1186000,465
1187000,332
1188000,322
1189000,338
1190000,379
1191000,321
1192000,342
1193000,359
1194000,378
1195000,359
1196000,336
1197000,358
1198000,386
1199000,1842
1200000,333
1201000,347
1202000,368
1203000,387
1204000,334
1205000,346
1206000,348
1207000,375
1208000,389
1209000,465
1210000,340
1211000,368
1212000,1762
1213000,328
1214000,329
1215000,328
1216000,470
1217000,377
1218000,335
1219000,333
1220000,361
1221000,334
1222000,341
1223000,337
1224000,344
1225000,316
1226000,338
1227000,1575
1228000,452
1229000,329
1230000,322
1231000,344
1232000,334
1233000,350
1234000,375
1235000,382
1236000,324
1237000,347
1238000,366
1239000,376
1240000,366
1241000,2124
1242000,343
1243000,335
1244000,337
1245000,337
1246000,332
1247000,347
1248000,343
1249000,331
1250000,357
1251000,556
1252000,346
1253000,360
1254000,342
1255000,1717
1256000,375
1257000,317
1258000,321
1259000,450
1260000,388
1261000,332
1262000,333
1263000,357
1264000,347
1265000,338
1266000,326
1267000,343
1268000,336
1269000,1642
1270000,481
1271000,344
1272000,364
1273000,368
1274000,342
1275000,341
1276000,359
1277000,386
1278000,385
1279000,328
1280000,353
1281000,360
1282000,390
1283000,1862
1284000,360
1285000,370
1286000,389
1287000,347
1288000,326
1289000,354
1290000,362
1291000,394
1292000,330
1293000,356
1294000,553
1295000,394
1296000,1907
1297000,329
1298000,343
1299000,383
1300000,385
1301000,331
1302000,477
1303000,355
1304000,352
1305000,347
1306000,341
1307000,339
1308000,320
1309000,342
1310000,1625
1311000,321
1312000,343
1313000,343
1314000,384
1315000,498
1316000,356
1317000,359
1318000,376
1319000,325
1320000,331
1321000,352
1322000,380
1323000,372
1324000,2419
1325000,335
1326000,338
1327000,334
1328000,340
1329000,353
1330000,325
1331000,345
1332000,346
1333000,347
1334000,355
1335000,336
1336000,545
1337000,1890
1338000,319
1339000,322
1340000,341
1341000,321
1342000,356
1343000,340
1344000,368
1345000,378
1346000,394
1347000,373
1348000,374
1349000,502
1350000,375
1351000,1738
1352000,326
1353000,360
1354000,382
1355000,397
1356000,324
1357000,343
1358000,567
1359000,1314
1360000,378
1361000,349
1362000,1887
1363000,365
1364000,405
1365000,326
1366000,352
1367000,409
1368000,543
1369000,428
1370000,473
1371000,354
1372000,332
1373000,343
1374000,344
1375000,1434
1376000,347
1377000,350
1378000,338
1379000,353
1380000,385
1381000,412
1382000,770
1383000,420
1384000,394
1385000,376
1386000,369
1387000,1768
1388000,323
1389000,332
1390000,340
1391000,676
1392000,1811
1393000,897
1394000,2081
1395000,352
1396000,339
1397000,332
1398000,354
1399000,341
1400000,349
1401000,360
1402000,352
1403000,379
1404000,374
1405000,684
1406000,383
1407000,2041
1408000,339
1409000,355
1410000,370
1411000,352
1412000,359
1413000,392
1414000,547
1415000,384
1416000,431
1417000,455
1418000,343
1419000,361
1420000,1684
1421000,334
1422000,757
1423000,1692
1424000,4725
1425000,799
1426000,747
1427000,718
1428000,462
1429000,407
1430000,358
1431000,385
1432000,411
1433000,427
1434000,1673
1435000,394
1436000,563
1437000,635
1438000,607
1439000,407
1440000,414
1441000,393
1442000,416
1443000,390
1444000,2164
1445000,372
1446000,371
1447000,503
1448000,989
1449000,574
1450000,404
1451000,435
1452000,383
1453000,388
1454000,429
1455000,1908
1456000,394
1457000,390
1458000,426
1459000,389
1460000,579
1461000,422
1462000,380
1463000,325
1464000,344
1465000,427
1466000,465
1467000,1798
1468000,357
1469000,372
1470000,351
1471000,385
1472000,620
1473000,844
1474000,515
1475000,423
1476000,373
1477000,1463
1478000,355
1479000,428
1480000,399
1481000,386
1482000,395
1483000,391
1484000,416
1485000,419
1486000,374
1487000,438
1488000,437
1489000,474
1490000,2402
1491000,658
1492000,485
1493000,387
1494000,386
1495000,395
1496000,374
1497000,384
1498000,881
1499000,2913
1500000,379
1501000,442
1502000,467
1503000,510
1504000,508
1505000,470
1506000,624
1507000,567
1508000,491
1509000,2281
1510000,572
1511000,650
1512000,561
1513000,658
1514000,470
1515000,705
1516000,501
1517000,576
1518000,2915
1519000,505
1520000,582
1521000,663
1522000,602
1523000,456
1524000,466
1525000,437
1526000,561
1527000,1886
1528000,1043
1529000,517
1530000,507
1531000,471
1532000,399
1533000,520
1534000,478
1535000,502
1536000,2095
1537000,511
1538000,528
1539000,563
1540000,435
1541000,444
1542000,438
1543000,486
1544000,1111
1545000,1719
1546000,556
1547000,415
1548000,449
1549000,445
1550000,473
1551000,417
1552000,411
1553000,423
1554000,618
1555000,464
1556000,1908
1557000,593
1558000,547
1559000,502
1560000,612
1561000,675
1562000,1023
1563000,565
1564000,1787
1565000,527
1566000,452
1567000,489
1568000,450
1569000,401
1570000,474
1571000,485
1572000,565
1573000,2496
1574000,503
1575000,557
1576000,601
1577000,627
1578000,837
1579000,525
1580000,598
1581000,568
1582000,1735
1583000,605
1584000,663
1585000,567
1586000,511
1587000,453
1588000,619
1589000,609
1590000,531
1591000,1966
1592000,519
1593000,567
1594000,555
1595000,497
1596000,533
1597000,807
1598000,602
1599000,430
1600000,1992
1601000,470
1602000,519
1603000,524
1604000,616
1605000,619
1606000,598
1607000,698
1608000,2282
1609000,508
1610000,610
1611000,782
1612000,798
1613000,740
1614000,797
1615000,1809
1616000,617
1617000,558
1618000,684
1619000,712
1620000,537
1621000,524
1622000,577
1623000,613
1624000,2435
1625000,579
1626000,634
1627000,561
1628000,506
1629000,584
1630000,541
1631000,690
1632000,2223
1633000,540
1634000,586
1635000,569
1636000,605
1637000,593
1638000,509
1639000,510
1640000,537
1641000,2579
1642000,525
1643000,500
1644000,747
1645000,719
1646000,917
