res,getrtime
1851672,13
1851672,46
1851672,28
1851672,20
1851672,88
1855667,38
1855667,14
1855667,70
1855667,31
1855667,40
1859448,44
1859448,59
1859448,28
1859448,15
1859448,24
1862825,24
1862825,49
1862825,24
1862825,31
1862825,25
1866718,46
1866718,83
1866718,16
1866718,47
1866718,35
1866718,794
1870252,39
1870252,52
1870252,22
1870252,28
1870252,34
1873757,16
1873757,59
1873757,60
1873757,138
1873757,32
1877144,19
1877144,33
1877144,45
1877144,47
1877144,27
1880816,43
1880816,6695
1880816,238
1880816,46
1880816,25
1883944,13
1883944,23
1883944,37
1883944,237
1883944,38
1888143,36
1888143,21
1888143,24
1888143,38
1888143,18
1892236,21
1892236,32
1892236,23
1892236,32
1892236,58
1896364,43
1896364,39
1896364,20
1896364,24
1896364,50
1875269,200
1875269,48
1875269,22
1875269,13
1875269,33
1879426,40
1879426,49
1879426,46
1879426,28
1879426,37
1882800,20
1882800,31
1882800,27
1882800,38
1882800,29
1886655,26
1886655,40
1886655,382
1886655,27
1886655,28
1892093,17
1892093,47
1892093,19
1892093,28
1892093,55
1892093,26
1897993,24
1897993,30
1897993,34
1897993,40
1897993,42
1879037,36
1879037,22
1879037,70
1879037,126
1879037,37
1884565,40
1884565,28
1884565,44
1884565,33
1884565,30
1891128,72
1891128,37
1891128,38
1891128,66
1891128,31
1897536,62
1897536,31
1897536,13
1897536,36
1897536,19
1878420,83
1878420,37
1878420,35
1878420,38
1878420,101
1882711,40
1882711,66
1882711,29
1882711,31
1882711,29
1886688,22
1886688,92
1886688,93
1886688,83
1886688,50
1890626,21
1890626,38
1890626,28
1890626,14
1890626,28
1894590,33
1894590,20
1894590,44
1894590,39
1894590,23
1898285,29
1898285,31
1898285,25
1898285,31
1898285,30
1876969,48
1876969,17
1876969,89
1876969,32
1876969,87
1880537,62
1880537,22
1880537,11
1880537,21
1880537,46
1884039,13
1884039,19
1884039,18
1884039,43
1884039,18
1887470,39
1887470,28
1887470,29
1887470,30
1887470,26
1891312,27
1891312,71
1891312,44
1891312,48
1891312,48
1894725,27
1894725,27
1894725,16
1894725,40
1894725,55
1897953,19
1897953,40
1897953,39
1897953,36
1897953,44
1899889,22
1899889,28
1899889,39
